molid,score,RF_pred,RF_10K_pred
EN_m_22bbe_1101X18326__s9984986_s10390468_s-1,-15.770010000000001,-17.189285559999984,-17.189285559999984
EN_m_22cbg_14175X536__s3124276_s11246386_s-1,-18.224659,-18.547751209999987,-18.54775120999999
EN_m_2708bba_6768X15592__s908316_s14180306_s-1,-15.254710000000001,-16.418102359999992,-16.418102359999992
EN_m_2718bba_16504X4183__s870320_s866966_s-1,-14.097705,-15.892374829999984,-15.892374829999984
EN_m_2708bba_6768X15592__s10339134_s11760366_s-1,-22.9657,-20.728861509999987,-20.728861509999987
EN_m_271949aba_5745X4511__s10839034_s10846476_s-1,-7.936389,-10.971105649999993,-10.971105649999991
EN_m_2708bba_6768X15592__s9476806_s9878060_s-1,-16.157410000000002,-16.901586310000013,-16.901586310000013
EN_m_271949aba_5745X4511__s11681834_s10847626_s-1,-13.086145,-15.375472139999996,-15.375472139999994
EN_m_22bbe_1101X18326__s3203428_s550062_s-1,-14.239688000000001,-16.047299789999975,-16.047299789999975
EN_m_2718bba_16504X4183__s14774924_s8738898_s-1,-27.983033000000002,-24.70070209999999,-24.70070209999999
EN_m_22bbg_14175X18811__s10684454_s18054132_s-1,-13.312935000000001,-14.650395239999995,-14.650395239999996
EN_m_527dbb_843X12060__s154175_s7920520_s-1,-16.904867000000007,-18.19773046999999,-18.19773046999999
EN_m_22ccb_4091X379__s11945700_s1010344_s-1,-14.385133999999999,-16.217891750000025,-16.217891750000025
EN_m_271948bba_6165X12061__s9941074_s12156348_s-1,-8.333861,-11.237156599999993,-11.237156599999993
EN_m_1458bbb_11717X4750__s472542_s483766_s-1,-19.932937,-19.814652690000017,-19.814652690000017
EN_m_271948bba_6165X12061__s9940516_s9937216_s-1,-10.084057000000001,-14.02065077000001,-14.02065077000001
EN_m_22bbe_1101X18326__s2442484_s21290986_s-1,-21.966275,-20.994698230000008,-20.994698230000008
EN_m_2718bba_16504X4183__s14787952_s8266620_s-1,-10.614426,-12.802192420000004,-12.802192420000004
EN_m_11bbb_6602X10262__s730258_s112054_s-1,-19.945434,-19.339678759999984,-19.339678759999984
EN_m_22bcd_812X14285__s21253034_s20826084_s-1,-24.461441,-22.078090479999986,-22.07809047999998
EN_m_2718bba_16504X4183__s7841148_s18799072_s-1,-21.738273,-20.986103839999984,-20.986103839999984
EN_m_273464bbc_4098X263__s11202550_s11234888_s-1,-21.173212,-21.53179343999999,-21.531793439999987
EN_m_271948bba_6165X12061__s9946400_s11683250_s-1,-15.849317999999998,-16.870794120000017,-16.870794120000017
EN_m_27bbb_2332X1122__s8960788_s13022372_s-1,-22.215631,-21.67241323000001,-21.67241323000002
EN_m_22bcd_812X14285__s20906846_s12103000_s-1,-22.643739,-20.78044961000002,-20.78044961000002
EN_m_2718bba_16504X4183__s9279306_s10719064_s-1,-21.372281,-19.38281372999998,-19.38281372999998
EN_m_271948bba_6165X12061__s9946240_s9915890_s-1,-17.70006,-17.588636519999973,-17.58863651999997
EN_m_527cbb_13275X712__s490608_s156189_s-1,-16.102035,-16.896392169999984,-16.896392169999984
EN_m_22bbb_5803X18326__s321852_s2909702_s-1,-25.18559500000001,-22.938527929999967,-22.938527929999978
EN_m_527bbb_13275X12060__s9322040_s157453_s-1,-14.486089999999999,-16.368631370000013,-16.368631370000013
EN_m_512bba_5148X10475__s10339114_s160851_s-1,-17.733831,-18.32868245,-18.328682450000002
EN_m_274090bba_4129X861__s12936412_s17604710_s-1,-22.381884,-21.01527846999997,-21.01527846999997
EN_m_22ccb_4091X379__s17660118_s202138_s-1,-11.634383,-13.587807570000002,-13.587807570000002
EN_m_527bbb_13275X12060__s10156878_s10861928_s-1,-21.150004,-20.35730425000002,-20.35730425000002
EN_m_527bbb_13275X12060__s1033714_s12157946_s-1,-19.882208,-19.647128899999995,-19.647128899999995
EN_m_22bbe_1101X18326__s765492_s582010_s-1,-15.386864000000001,-16.864158899999996,-16.864158899999996
EN_m_2430dbb_407X16738__s7783354_s12426576_s-1,-10.445456,-12.935085809999993,-12.935085809999993
EN_m_11bbb_6602X10262__s9966562_s2443148_s-1,-15.970794,-15.907009660000012,-15.907009660000012
