molid,score,RF_pred,RF_10K_pred
EN_m_22bbe_1101X18326__s13422746_s10176328_s-1,-16.196919,-17.46740860999999,-17.46740860999999
EN_m_527bbb_13275X12060__s608868_s156791_s-1,-22.794257,-20.97037161000001,-20.97037161000001
EN_m_271949aba_5745X4511__s16514466_s16513806_s-1,-13.563839999999999,-14.830485280000019,-14.830485280000019
EN_m_271948bba_6165X12061__s9945478_s9919046_s-1,-20.039851000000002,-19.103662759999995,-19.103662759999995
EN_m_2718bba_16504X4183__s20011402_s868068_s-1,-12.097688,-15.250068730000002,-15.250068730000002
EN_m_22bbb_5803X18326__s14928204_s6174706_s-1,-21.51209,-20.415302939999975,-20.415302939999975
EN_m_276436bbb_1114X10005__s14076498_s14264938_s-1,-22.782337,-20.503255640000017,-20.503255640000017
EN_m_22bbg_14175X18811__s602388_s21214964_s-1,-20.733622,-19.637169959999987,-19.637169959999987
EN_m_2718cba_16504X413__s17840648_s18185398_s-1,-17.304794,-16.953777409999972,-16.953777409999976
EN_m_2708bba_6768X15592__s10339134_s16647424_s-1,-21.100119,-20.378857969999977,-20.378857969999977
EN_m_11bbb_6602X10262__s490590_s16718718_s-1,-26.431216,-23.285729909999976,-23.285729909999976
EN_m_22bbe_1101X18326__s20836656_s7969208_s-1,-21.136916,-19.98898943999998,-19.98898943999998
EN_m_22bbg_14175X18811__s12156918_s139303_s-1,-33.768596,-27.134711609999968,-27.134711609999968
EN_m_2430bbb_4431X16738__s15098028_s10545040_s-1,-13.523123000000002,-15.608637319999994,-15.608637319999996
EN_m_22bbb_5803X18326__s58677_s1127500_s-1,-24.070592,-22.443622080000022,-22.443622080000022
EN_m_512bba_5148X10475__s563674_s7143602_s-1,-9.709752,-12.16403534999999,-12.16403534999999
EN_m_22dbb_498X18326__s2367482_s140653_s-1,-18.521856,-18.084525200000016,-18.084525200000016
EN_m_2708bba_6768X15592__s907934_s3705304_s-1,-9.919571000000001,-12.785811459999998,-12.785811459999998
EN_m_10baa_58X1467__s64997_s102845_s-1,-20.250569,-19.375489630000008,-19.375489630000008
EN_m_22bbe_1101X18326__s21037368_s4357398_s-1,-23.652507999999997,-21.581553789999976,-21.581553789999976
EN_m_269946bcb_76X12137__s12335762_s7305456_s-1,-17.89848,-17.788768620000013,-17.78876862000001
EN_m_22bbb_5803X18326__s635982_s16887700_s-1,-20.221006,-19.65419726,-19.65419726
EN_m_6bba_1188X1718__s71656_s9650572_s-1,-13.611811,-15.575894909999995,-15.575894909999997
EN_m_2718bba_16504X4183__s13765052_s3049142_s-1,-26.503771999999998,-24.690026530000008,-24.690026530000015
EN_m_2718cba_16504X413__s12304858_s6438886_s-1,-20.674082000000002,-20.202990940000007,-20.202990940000003
EN_m_527bbb_13275X12060__s9984536_s156791_s-1,-17.586168,-17.966088760000023,-17.966088760000023
EN_m_6bba_1188X1718__s10544516_s15096120_s-1,-20.962320000000002,-19.62109091000002,-19.62109091000002
EN_m_2718bba_16504X4183__s7945692_s3082184_s-1,-23.239463,-21.59146832999998,-21.59146832999998
EN_m_22cbg_14175X536__s10432910_s7114912_s-1,-17.124873,-17.979967549999987,-17.97996754999999
EN_m_22bbb_5803X18326__s14588380_s9105046_s-1,-15.092151000000001,-16.372976250000008,-16.372976250000008
EN_m_22dbb_498X18326__s17754956_s16913600_s-1,-17.283673,-19.11268226999998,-19.11268226999998
EN_m_11bbb_6602X10262__s923828_s6108866_s-1,-22.459847,-20.73609822000002,-20.73609822000002
EN_m_271948bba_6165X12061__s13597620_s9914656_s-1,-16.472164000000006,-17.182382340000007,-17.182382340000007
EN_m_22cbg_14175X536__s4147128_s1322230_s-1,-17.959761,-18.36376466000001,-18.36376466000001
EN_m_22bbg_14175X18811__s13762890_s135934_s-1,-26.129291000000002,-23.20472155,-23.204721550000002
EN_m_527bbb_13275X12060__s10738580_s281930_s-1,-19.467018,-19.294267830000027,-19.294267830000027
EN_m_2708bba_6768X15592__s2031652_s18323876_s-1,-9.452843,-13.323029670000011,-13.323029670000013
EN_m_271948bba_6165X12061__s9938822_s9911138_s-1,-23.502072000000002,-21.84033048000001,-21.840330480000013
EN_m_22bbg_14175X18811__s490592_s16439242_s-1,-26.454156,-23.035722849999985,-23.035722849999985
EN_m_22dbb_498X18326__s9405894_s2910584_s-1,-11.929466,-14.326627930000019,-14.32662793000002
EN_m_22bbg_14175X18811__s4595304_s11763604_s-1,-17.477349,-17.571258670000006,-17.571258670000006
EN_m_22dcb_263X14285__s13039356_s7794994_s-1,-17.52895,-18.12701478999998,-18.12701478999998
EN_m_2718bba_16504X4183__s1026016_s13586494_s-1,-8.409794,-11.33177004,-11.331770039999999
EN_m_22bbb_5803X18326__s5454544_s14391790_s-1,-10.800877,-13.11810984999999,-13.11810984999999
EN_m_271949aba_5745X4511__s10836434_s10847678_s-1,-11.378759,-13.71773023999998,-13.71773023999998
EN_m_271949aba_5745X4511__s13811328_s10845080_s-1,-14.233827,-15.914841470000004,-15.914841470000006
EN_m_22bbe_1101X18326__s20826630_s4003672_s-1,-23.442042999999998,-22.29989792000001,-22.299897920000014
EN_m_2718bba_16504X4183__s1026564_s20650898_s-1,-19.132974,-19.077586170000032,-19.07758617000003
EN_m_271948bba_6165X12061__s9938868_s16792530_s-1,-17.870321,-18.273227700000024,-18.273227700000028
EN_m_273464bbc_4098X263__s11198252_s11733264_s-1,-14.004664000000002,-14.975822920000017,-14.975822920000017
EN_m_22bbg_14175X18811__s17637342_s236222_s-1,-11.826492,-15.29052357999999,-15.29052357999999
EN_m_2708bba_6768X15592__s906382_s16769726_s-1,-17.322817999999998,-18.28465459000003,-18.28465459000003
EN_m_22bcb_4091X14285__s12206100_s7919598_s-1,-18.568201000000002,-19.029862370000018,-19.029862370000018
EN_m_22bbb_5803X18326__s635982_s490554_s-1,-22.752636,-21.37070799,-21.37070799
EN_m_22cbg_14175X536__s13755852_s530834_s-1,-8.543235000000001,-11.241526429999995,-11.241526429999997
EN_m_22dbb_498X18326__s13755922_s13970124_s-1,-19.424432,-18.558687980000016,-18.558687980000016
EN_m_269946bcb_76X12137__s19738504_s13216518_s-1,-16.408155999999998,-17.728250509999985,-17.728250509999985
EN_m_2718bba_16504X4183__s9146484_s867826_s-1,-21.389869,-20.165007530000018,-20.16500753000002
EN_m_22bbb_5803X18326__s2392078_s60825_s-1,-23.671946,-21.61069823999999,-21.610698239999987
EN_m_22bbg_14175X18811__s1281834_s12131360_s-1,-10.429955999999999,-14.507391439999983,-14.507391439999983
EN_m_527bbb_13275X12060__s17835338_s157453_s-1,-16.499612,-16.446777450000017,-16.446777450000017
EN_m_271948bba_6165X12061__s9949714_s16522166_s-1,-22.212706,-21.006098970000018,-21.006098970000018
EN_m_2718bba_16504X4183__s19877264_s7932916_s-1,-21.597327,-21.696976359999976,-21.696976359999976
EN_m_2740bbb_959X9971__s4597118_s4117032_s-1,-22.000409,-20.560413879999988,-20.56041387999999
EN_m_271949aba_5745X4511__s10831976_s10844270_s-1,-20.349501,-19.997760179999982,-19.997760179999982
EN_m_22dbb_498X18326__s17781428_s20854170_s-1,-17.818148,-18.41172044000001,-18.411720440000014
EN_m_527bbb_13275X12060__s21222796_s157453_s-1,-15.448808999999999,-16.58753126999999,-16.58753126999999
EN_m_2430bbb_4431X16738__s14048970_s11975504_s-1,-18.681938,-19.365307969999975,-19.365307969999975
EN_m_527bbb_13275X12060__s1722182_s1179978_s-1,-18.809537,-18.952318460000022,-18.952318460000022
EN_m_527bbc_2622X12062__s10968260_s156584_s-1,-17.374420999999998,-18.196956999999987,-18.196956999999987
EN_m_512bba_5148X10475__s1201804_s8926238_s-1,-19.638278,-19.24320019999997,-19.24320019999997
EN_m_22cbg_14175X536__s12056530_s10684428_s-1,-15.321330999999999,-16.163494700000022,-16.163494700000022
EN_m_22bbg_14175X18811__s10207426_s3603498_s-1,-20.427519,-20.078609930000017,-20.078609930000017
EN_m_22bbf_63X18326__s13067784_s15081550_s-1,-17.880545,-18.090604429999992,-18.090604429999992
EN_m_1458bbb_11717X4750__s19174994_s4712652_s-1,-12.747661,-14.162307110000011,-14.162307110000013
EN_m_2708bba_6768X15592__s3218336_s913018_s-1,-15.106893,-15.630285409999988,-15.630285409999988
EN_m_22bbe_1101X18326__s9600774_s691338_s-1,-25.913261,-23.433694769999992,-23.43369476999999
EN_m_1458bbb_11717X4750__s5530900_s480562_s-1,-24.255751999999998,-22.50561136000001,-22.505611360000017
EN_m_527bbb_13275X12060__s610364_s13449274_s-1,-13.267342000000001,-15.036568620000011,-15.036568620000011
EN_m_2708bba_6768X15592__s1041680_s913364_s-1,-16.821317999999998,-17.56766284000001,-17.56766284000001
EN_m_271949aba_5745X4511__s10839648_s10846480_s-1,-13.696319,-15.737914629999993,-15.737914629999992
EN_m_22bbe_1101X18326__s3073696_s504730_s-1,-16.075163,-17.07132434999999,-17.07132434999999
EN_m_22bbg_14175X18811__s5821866_s13574428_s-1,-18.113738,-17.558693890000004,-17.558693890000004
EN_m_6bba_1188X1718__s71661_s15779756_s-1,-20.98902,-20.22842817888888,-20.228428178888876
EN_m_2430bbb_4431X16738__s16711686_s14724024_s-1,-17.474585,-17.801698459999987,-17.801698459999987
EN_m_2718bba_16504X4183__s1024408_s20828816_s-1,-14.149282000000001,-15.097265030000008,-15.097265030000008
EN_m_11bbc_4643X10267__s2496796_s18708976_s-1,-25.455954000000002,-23.65674369000001,-23.656743690000003
EN_m_2708bba_6768X15592__s4860242_s19744974_s-1,-19.371009,-19.601858739999983,-19.601858739999983
EN_m_2718bba_16504X4183__s1025272_s9437742_s-1,-26.030621,-23.48723179000001,-23.487231790000013
EN_m_271948bba_6165X12061__s12428562_s9923864_s-1,-11.830614,-13.470071109999989,-13.470071109999987
EN_m_2708bba_6768X15592__s1128612_s908852_s-1,-15.801267000000001,-17.128027610000025,-17.128027610000025
EN_m_22bbb_5803X18326__s58677_s8158752_s-1,-26.052692,-22.31382285,-22.31382285
EN_m_271949aba_5745X4511__s10835304_s10847854_s-1,-13.007177,-15.263889439999993,-15.26388943999999
EN_m_271949aba_5745X4511__s13584902_s12548216_s-1,-18.825597,-18.273885160000013,-18.27388516000001
EN_m_271948bba_6165X12061__s11619176_s9924546_s-1,-12.928609,-14.352610400000026,-14.352610400000025
EN_m_270004bba_7600X3420__s8156460_s19977790_s-1,-15.174039000000002,-16.281940479999996,-16.281940479999996
EN_m_22bbb_5803X18326__s2392078_s20706290_s-1,-18.979377,-19.004412820000024,-19.004412820000024
EN_m_22bbg_14175X18811__s16712382_s59321_s-1,-14.357672,-15.951436170000017,-15.951436170000017
EN_m_527bbb_13275X12060__s20640196_s8803930_s-1,-26.183920999999998,-23.30823010000001,-23.308230100000007
EN_m_22bbe_1101X18326__s21018812_s10812292_s-1,-16.646947,-16.82763530999998,-16.82763530999998
EN_m_22bcd_812X14285__s20973362_s60707_s-1,-13.24354,-15.060937949999998,-15.060937949999998
EN_m_271949aba_5745X4511__s13224774_s13459222_s-1,-17.26148,-17.538397589999967,-17.538397589999967
EN_m_527bcb_3363X9671__s2007914_s12624096_s-1,-23.876826,-22.191642949999995,-22.191642949999995
EN_m_22bbg_14175X18811__s15142210_s16892196_s-1,-16.020468,-17.244094649999994,-17.244094649999994
EN_m_240690bbb_693X16652__s19179258_s7414638_s-1,-11.044335,-14.233543350000017,-14.233543350000017
EN_m_2708bba_6768X15592__s13953330_s6958254_s-1,-7.4617130000000005,-10.11759025000001,-10.11759025000001
EN_m_271949aba_5745X4511__s12220324_s12220450_s-1,-2.35595,-9.398488680000003,-9.398488680000003
EN_m_527bbb_13275X12060__s15772872_s15717116_s-1,-15.676257999999999,-16.509016659999983,-16.509016659999986
EN_m_272212baa_7217X155__s20828610_s14477066_s-1,-25.767210000000002,-24.015472309999986,-24.015472309999986
EN_m_22cbb_5803X533__s3705538_s10388294_s-1,-14.694622,-16.905600269999994,-16.905600269999997
EN_m_271948bba_6165X12061__s9946652_s9927490_s-1,-13.160430999999999,-15.603637880000008,-15.603637880000008
EN_m_22dbb_498X18326__s1054986_s13309612_s-1,-13.801663000000001,-15.833289359999982,-15.833289359999986
EN_m_22bbg_14175X18811__s12913310_s9406320_s-1,-16.860096,-17.52081697999998,-17.52081697999998
EN_m_271948bba_6165X12061__s9941448_s18673358_s-1,-20.714748999999998,-19.978674639999987,-19.978674639999987
EN_m_232682dba_663X1214__s8270808_s15396060_s-1,-8.117148,-12.582442170000016,-12.582442170000014
EN_m_2718bba_16504X4183__s12220686_s16910600_s-1,-16.912944,-18.37958427999999,-18.37958427999999
EN_m_273462bbc_560X2913__s11195924_s11194194_s-1,-14.560247,-15.575126839999974,-15.575126839999974
EN_m_527bbc_2622X12062__s11352642_s761102_s-1,-28.619774,-24.11322970999999,-24.113229709999988
EN_m_271948bba_6165X12061__s20349198_s12304866_s-1,-14.282565,-16.10886432999999,-16.10886432999999
EN_m_22cbg_14175X536__s20068290_s14430110_s-1,-25.618413,-23.12225141999999,-23.122251419999984
EN_m_512bba_5148X10475__s10339114_s532880_s-1,-18.66385,-19.127982799999977,-19.127982799999977
EN_m_22ccb_4091X379__s11758002_s202138_s-1,-15.578763,-15.975496739999993,-15.975496739999992
EN_m_22bbb_5803X18326__s2335046_s9105046_s-1,-16.138225,-17.31219511999999,-17.31219511999999
EN_m_271948bba_6165X12061__s9948108_s9916048_s-1,-23.302375,-22.06018365,-22.06018365
EN_m_271949aba_5745X4511__s11572740_s10846882_s-1,-9.520659,-12.427087810000012,-12.427087810000012
EN_m_11bbb_6602X10262__s886152_s2264462_s-1,-28.113881,-24.820242450000023,-24.820242450000023
EN_m_11bbc_4643X10267__s13230354_s7024816_s-1,-27.473629,-24.246373020000025,-24.246373020000025
EN_m_232682bba_3941X1214__s4557572_s10905084_s-1,-8.443827,-12.314164530000026,-12.314164530000022
EN_m_22bbb_5803X18326__s466336_s9433282_s-1,-21.677159,-20.32571551000002,-20.32571551000002
EN_m_2718bba_16504X4183__s16641616_s1199126_s-1,-21.347027999999998,-20.511309309999984,-20.511309309999984
EN_m_2718bba_16504X4183__s7286886_s8761734_s-1,-13.480255,-14.172491089999983,-14.172491089999983
EN_m_22bbg_14175X18811__s15504024_s1180398_s-1,-20.71861,-20.018573969999977,-20.018573969999977
EN_m_527bbb_13275X12060__s20327614_s677100_s-1,-19.239289000000007,-18.759635560000024,-18.759635560000024
EN_m_240690bbb_693X16652__s17658376_s7410978_s-1,-18.971407,-18.24064471,-18.24064471
EN_m_11ccb_4522X575__s782734_s7348558_s-1,-25.526814,-23.11558075000001,-23.115580750000014
EN_m_271949aba_5745X4511__s19118586_s13166808_s-1,-15.464254,-17.183300859999992,-17.18330085999999
EN_m_22bbe_1101X18326__s20839776_s59750_s-1,-19.996203,-19.050516369999983,-19.050516369999983
EN_m_11bcc_732X8536__s8852690_s53487_s-1,-16.008328,-17.653207199999972,-17.653207199999972
EN_m_22bbe_1101X18326__s20827368_s7969208_s-1,-21.803743,-19.594662829999994,-19.594662829999994
EN_m_11bcc_732X8536__s14723910_s54211_s-1,-20.90126,-20.028027590000026,-20.028027590000022
EN_m_11cbb_6602X1115__s12155220_s12104712_s-1,-14.163548,-15.60447645,-15.60447645
EN_m_271948bba_6165X12061__s9947946_s9916900_s-1,-12.433579,-14.019371610000006,-14.019371610000006
EN_m_22cbg_14175X536__s15367028_s6009090_s-1,-15.986768,-17.162137259999994,-17.162137259999994
EN_m_512bba_5148X10475__s7787938_s13032230_s-1,-18.492225,-18.263008609999982,-18.263008609999986
EN_m_2718bba_16504X4183__s999016_s14937882_s-1,-21.571019,-20.134949579999983,-20.134949579999986
EN_m_22bcb_4091X14285__s9582650_s12523484_s-1,-22.680653,-20.94118611999997,-20.941186119999966
EN_m_271949aba_5745X4511__s17311988_s13606816_s-1,-20.634065,-19.25986304999999,-19.25986304999999
EN_m_271948bba_6165X12061__s13778308_s12910378_s-1,-15.142898,-16.820896670000003,-16.820896670000003
EN_m_527bbb_13275X12060__s6175824_s262250_s-1,-13.720478,-15.190951829999989,-15.190951829999987
EN_m_11bbc_4643X10267__s8253938_s19991358_s-1,-16.036269,-17.126310289999974,-17.126310289999974
EN_m_527bbb_13275X12060__s11618688_s9228026_s-1,-21.409473000000002,-19.93284735999999,-19.93284735999999
EN_m_280130bbb_25554X204__s17866866_s17857140_s-1,-14.677249,-15.811724910000011,-15.811724910000011
EN_m_22bbb_5803X18326__s150071_s9396160_s-1,-24.3003,-22.415645960000028,-22.415645960000028
EN_m_2718bba_16504X4183__s20607558_s8625172_s-1,-23.641245,-20.971866150000004,-20.971866150000004
EN_m_27bbd_10224X2510__s12156404_s10475842_s-1,-12.159657000000001,-14.171275500000005,-14.171275500000004
EN_m_527bcb_3363X9671__s3114636_s16471880_s-1,-18.891342,-19.12269948999998,-19.12269948999998
EN_m_271949aba_5745X4511__s10831632_s13438800_s-1,-17.693417,-17.458188519999982,-17.45818851999998
EN_m_11bbb_6602X10262__s490590_s15153842_s-1,-18.755729000000002,-18.666868799999982,-18.66686879999998
EN_m_232682bba_3941X1214__s16655918_s5455586_s-1,-15.249957,-16.498121379999994,-16.498121379999997
EN_m_22bbg_14175X18811__s20976256_s1180398_s-1,-17.697169,-17.142221400000018,-17.142221400000015
EN_m_271948bba_6165X12061__s9945750_s9916178_s-1,-17.625393,-17.687359370000017,-17.687359370000014
EN_m_22bbg_14175X18811__s7426182_s1181086_s-1,-15.233665,-16.163980809999988,-16.163980809999988
EN_m_2430bbb_4431X16738__s1323700_s2161984_s-1,-18.172747,-18.875839650000025,-18.875839650000025
EN_m_22bbe_1101X18326__s20839172_s59252_s-1,-18.160363,-18.27034202999998,-18.27034202999998
EN_m_527bbb_13275X12060__s10855472_s3001410_s-1,-13.242595999999999,-15.09384835000002,-15.09384835000002
EN_m_2430cab_4431X1259__s3000114_s12915024_s-1,-16.868354999999998,-18.31584951000001,-18.315849510000014
EN_m_22bbb_5803X18326__s13230360_s14260724_s-1,-22.263775,-21.699677679999965,-21.699677679999965
EN_m_11cbb_6602X1115__s13768094_s6725992_s-1,-19.499229999999997,-18.57907982999997,-18.57907982999997
EN_m_11bcb_4522X8531__s52895_s15718114_s-1,-14.811292000000002,-17.959753600000013,-17.95975360000001
EN_m_2718cba_16504X413__s14250436_s2729648_s-1,-22.21120100000001,-20.842722480000013,-20.84272248000001
EN_m_22bbe_1101X18326__s2990112_s1742378_s-1,-11.548973,-14.432121609999996,-14.432121609999994
EN_m_271949aba_5745X4511__s10834506_s10844376_s-1,-19.664266,-19.26952668,-19.269526680000002
EN_m_2708bba_6768X15592__s907934_s16660752_s-1,-17.306797,-17.785618649999982,-17.785618649999982
EN_m_22cbg_14175X536__s4433210_s18234202_s-1,-13.194998000000002,-15.040870079999996,-15.040870079999996
EN_m_2718bba_16504X4183__s13763018_s5581068_s-1,-14.202124,-15.168568489999993,-15.16856848999999
EN_m_271949aba_5745X4511__s10832726_s10846640_s-1,-17.196189,-17.956492090000005,-17.956492090000005
EN_m_2718bba_16504X4183__s10893114_s16806030_s-1,-18.833551999999997,-18.251761360000017,-18.25176136000002
EN_m_272610bba_802X10252__s18205472_s17770376_s-1,-14.915544,-17.279955499999982,-17.279955499999986
EN_m_11bbb_6602X10262__s52252_s93511_s-1,-18.303222,-18.43287993,-18.432879930000002
EN_m_22bbg_14175X18811__s20612818_s14316696_s-1,-7.8797380000000015,-12.49763218,-12.49763218
EN_m_527bbb_13275X12060__s20820644_s2517404_s-1,-13.564116,-15.046521410000008,-15.046521410000008
EN_m_2708bba_6768X15592__s5345204_s16908808_s-1,-18.006902,-17.892105790000016,-17.892105790000016
EN_m_271948bba_6165X12061__s16847574_s9931226_s-1,-13.451260999999999,-15.432011079999995,-15.432011079999995
EN_m_271949aba_5745X4511__s10893856_s10846434_s-1,-16.732256,-17.23260867,-17.23260867
EN_m_2708bba_6768X15592__s5345204_s12055112_s-1,-20.045501,-19.444754380000024,-19.444754380000024
EN_m_271949aba_5745X4511__s16807168_s17514744_s-1,-11.918463000000001,-14.45266408999999,-14.45266408999999
EN_m_22bbd_1604X18811__s20068394_s21057378_s-1,-11.635197999999999,-14.36318678999998,-14.363186789999979
EN_m_2430bbb_4431X16738__s9984404_s15159522_s-1,-12.897922,-15.391114440000019,-15.391114440000019
EN_m_22dbb_498X18326__s16803912_s16478168_s-1,-8.555333000000001,-11.88904025000001,-11.88904025000001
EN_m_11bbc_4643X10267__s4905314_s53567_s-1,-21.790232999999997,-20.29042795999997,-20.29042795999997
EN_m_271948bba_6165X12061__s9943808_s20607562_s-1,-12.906953,-14.86760131,-14.86760131
EN_m_11bbb_6602X10262__s102640_s10890500_s-1,-21.632023999999998,-20.227344520000006,-20.227344520000003
EN_m_527bbc_2622X12062__s13261906_s6476052_s-1,-18.49964,-18.865062570000006,-18.865062570000003
EN_m_6bba_1188X1718__s11560976_s141346_s-1,-20.455023999999998,-20.168323820000023,-20.168323820000023
EN_m_22bbe_1101X18326__s21214830_s20854964_s-1,-13.94779,-15.648737139999998,-15.648737139999998
EN_m_22bbb_5803X18326__s15751364_s10156580_s-1,-21.632785000000002,-20.652881870000005,-20.652881870000005
EN_m_512bba_5148X10475__s13032228_s6885402_s-1,-5.540726,-9.31996387999999,-9.31996387999999
EN_m_2430cab_4431X1259__s9788492_s10115398_s-1,-16.349756,-18.659346250000013,-18.659346250000013
EN_m_271948bba_6165X12061__s9938078_s15737052_s-1,-12.554271,-15.672557309999995,-15.672557309999995
EN_m_271948bba_6165X12061__s9945834_s9912634_s-1,-14.382313,-16.226605080000017,-16.226605080000017
EN_m_527bbb_13275X12060__s16483188_s155931_s-1,-20.791207,-20.109714429999983,-20.109714429999986
EN_m_271948bba_6165X12061__s9947268_s14427144_s-1,-9.100082,-12.760424330000005,-12.760424330000003
EN_m_2708bba_6768X15592__s10339134_s16950616_s-1,-22.73142,-20.50205823000002,-20.50205823000002
EN_m_527bbb_13275X12060__s13226734_s12104716_s-1,-23.682425,-21.441104289999988,-21.441104289999988
EN_m_2230bec_2334X4397__s15106508_s666046_s-1,-15.749885999999998,-17.13713402000001,-17.13713402000001
EN_m_271948bba_6165X12061__s9938370_s9912634_s-1,-19.993721,-19.25912648000002,-19.25912648000002
EN_m_6bba_1188X1718__s311548_s71299_s-1,-18.794227,-18.23104512000002,-18.23104512000002
EN_m_527bbb_13275X12060__s1027546_s16478338_s-1,-15.590615,-16.45364704000001,-16.45364704000001
EN_m_22bbb_5803X18326__s12221878_s8164654_s-1,-22.514189000000002,-20.858438679999995,-20.858438679999995
EN_m_22bcb_4091X14285__s16627198_s10156580_s-1,-21.878122,-20.69127767000002,-20.69127767000002
EN_m_2718bba_16504X4183__s10206530_s867948_s-1,-11.443019,-12.851596380000016,-12.851596380000016
EN_m_22bbg_14175X18811__s16508018_s236222_s-1,-24.636012,-22.744685429999986,-22.744685429999986
EN_m_22bbg_14175X18811__s10564190_s18186874_s-1,-9.812378,-11.908693279999996,-11.908693279999996
EN_m_22bbe_1101X18326__s10954490_s153379_s-1,-21.372832,-20.349255190000008,-20.349255190000008
EN_m_271949aba_5745X4511__s16980632_s10843448_s-1,-6.3315730000000014,-11.293665610000017,-11.293665610000014
EN_m_2718daa_1142X4183__s13588398_s7592480_s-1,-20.848564,-19.705675969999962,-19.705675969999962
EN_m_264822baa_3114X106__s3501004_s3499602_s-1,-4.127831,-9.968430370000004,-9.968430370000004
EN_m_22bbb_5803X18326__s150071_s13757546_s-1,-20.768245,-19.857358469999983,-19.857358469999983
EN_m_22bbb_5803X18326__s20821052_s5530690_s-1,-20.781572,-19.807587290000026,-19.807587290000026
